"year","site","collector","condition","comment"
2011,"Arisaig",2046,"OK",""
2011,"Skinner's Pond",1893,"OK",""
2011,"Arisaig",2050,"OK",""
2011,"Skinner's Pond",1894,"OK",""
2011,"Covehead",1721,"OK",""
2011,"Skinner's Pond",1895,"OK",""
2011,"Arisaig",2051,"OK",""
2011,"Arisaig",2052,"OK",""
2011,"Arisaig",2053,"OK",""
2011,"Covehead",1722,"OK",""
2011,"Arisaig",2055,"OK",""
2011,"Covehead",1723,"OK",""
2011,"Arisaig",2056,"OK",""
2011,"Skinner's Pond",1896,"OK",""
2011,"Skinner's Pond",1897,"OK",""
2011,"Arisaig",2057,"OK",""
2011,"Skinner's Pond",1898,"OK",""
2011,"Arisaig",2058,"OK",""
2011,"Covehead",1724,"OK",""
2011,"Skinner's Pond",1899,"OK",""
2011,"Skinner's Pond",1900,"OK",""
2011,"Arisaig",2059,"OK",""
2011,"Covehead",1725,"OK",""
2011,"Arisaig",2060,"OK",""
2011,"Arisaig",2061,"OK",""
2011,"Nine Mile Creek",1841,"OK",""
2011,"Nine Mile Creek",1842,"OK",""
2011,"Nine Mile Creek",1843,"OK",""
2011,"Covehead",1726,"OK",""
2011,"Nine Mile Creek",1844,"OK",""
2011,"Nine Mile Creek",1845,"OK",""
2011,"Covehead",1727,"OK",""
2011,"Nine Mile Creek",1846,"OK",""
2011,"Murray Harbour",1747,"OK",""
2011,"Murray Harbour",1750,"OK",""
2011,"Nine Mile Creek",1847,"OK",""
2011,"Murray Harbour",1752,"OK",""
2011,"Covehead",1728,"OK",""
2011,"Murray Harbour",1753,"OK",""
2011,"Murray Harbour",1754,"OK",""
